,window_id,window_start,window_end,station_id,temp_media,viento_max,lluvia_acum,altitud,zona_climatica,alerta_viento,alerta_lluvia,alerta_calor
170,ventana_131,2024-01-01T10:10:00,2024-01-01T10:11:00,WST001,12.38,10.96,0.13,462,Atlantic,False,False,False
171,ventana_132,2024-01-01T10:11:00,2024-01-01T10:12:00,WST003,14.85,11.06,1.66,490,Atlantic,False,False,False
172,ventana_133,2024-01-01T10:12:00,2024-01-01T10:13:00,WST006,14.45,9.75,0.47,734,Atlantic,False,False,False
173,ventana_133,2024-01-01T10:12:00,2024-01-01T10:13:00,WST007,17.18,10.94,2.47,560,Continental,False,False,False
174,ventana_134,2024-01-01T10:13:00,2024-01-01T10:14:00,WST001,18.64,7.74,2.77,462,Atlantic,False,False,False
175,ventana_135,2024-01-01T10:14:00,2024-01-01T10:15:00,WST002,28.87,10.44,2.16,384,Continental,False,False,False
176,ventana_136,2024-01-01T10:15:00,2024-01-01T10:16:00,WST002,22.16,9.08,0.76,384,Continental,False,False,False
177,ventana_136,2024-01-01T10:15:00,2024-01-01T10:16:00,WST005,15.95,13.57,1.38,635,Continental,False,False,False
178,ventana_137,2024-01-01T10:16:00,2024-01-01T10:17:00,WST003,25.71,8.06,2.16,490,Atlantic,False,False,False
179,ventana_138,2024-01-01T10:17:00,2024-01-01T10:18:00,WST004,19.99,9.05,0.96,1416,Mediterranean,False,False,False
180,ventana_139,2024-01-01T10:18:00,2024-01-01T10:19:00,WST002,14.32,7.86,0.38,384,Continental,False,False,False
181,ventana_139,2024-01-01T10:18:00,2024-01-01T10:19:00,WST007,16.07,5.85,1.27,560,Continental,False,False,False
182,ventana_140,2024-01-01T10:19:00,2024-01-01T10:20:00,WST003,7.39,7.65,0.45,490,Atlantic,False,False,False
183,ventana_141,2024-01-01T10:20:00,2024-01-01T10:21:00,WST004,21.35,9.82,1.39,1416,Mediterranean,False,False,False
184,ventana_142,2024-01-01T10:21:00,2024-01-01T10:22:00,WST001,16.65,7.44,4.14,462,Atlantic,False,False,False
185,ventana_142,2024-01-01T10:21:00,2024-01-01T10:22:00,WST002,14.99,8.86,2.72,384,Continental,False,False,False
186,ventana_143,2024-01-01T10:22:00,2024-01-01T10:23:00,WST007,25.7,4.56,1.61,560,Continental,False,False,False
187,ventana_144,2024-01-01T10:23:00,2024-01-01T10:24:00,WST005,21.76,8.04,0.39,635,Continental,False,False,False
188,ventana_145,2024-01-01T10:24:00,2024-01-01T10:25:00,WST003,18.14,7.64,4.08,490,Atlantic,False,False,False
189,ventana_145,2024-01-01T10:24:00,2024-01-01T10:25:00,WST005,12.67,9.77,5.22,635,Continental,False,False,False
190,ventana_146,2024-01-01T10:25:00,2024-01-01T10:26:00,WST002,13.52,11.01,1.89,384,Continental,False,False,False
191,ventana_147,2024-01-01T10:26:00,2024-01-01T10:27:00,WST002,11.69,10.9,0.19,384,Continental,False,False,False
192,ventana_148,2024-01-01T10:27:00,2024-01-01T10:28:00,WST003,15.45,10.62,3.87,490,Atlantic,False,False,False
193,ventana_149,2024-01-01T10:28:00,2024-01-01T10:29:00,WST006,17.82,14.73,2.61,734,Atlantic,False,False,False
194,ventana_150,2024-01-01T10:29:00,2024-01-01T10:30:00,WST006,21.07,13.46,2.64,734,Atlantic,False,False,False
195,ventana_151,2024-01-01T10:30:00,2024-01-01T10:31:00,WST004,24.72,11.56,0.48,1416,Mediterranean,False,False,False
196,ventana_151,2024-01-01T10:30:00,2024-01-01T10:31:00,WST007,20.84,13.05,0.23,560,Continental,False,False,False
197,ventana_152,2024-01-01T10:31:00,2024-01-01T10:32:00,WST002,21.28,10.64,2.8,384,Continental,False,False,False
198,ventana_153,2024-01-01T10:32:00,2024-01-01T10:33:00,WST002,21.14,13.86,0.84,384,Continental,False,False,False
199,ventana_154,2024-01-01T10:33:00,2024-01-01T10:34:00,WST004,14.82,8.85,3.53,1416,Mediterranean,False,False,False
200,ventana_154,2024-01-01T10:33:00,2024-01-01T10:34:00,WST005,18.25,7.88,3.96,635,Continental,False,False,False
201,ventana_155,2024-01-01T10:34:00,2024-01-01T10:35:00,WST001,16.74,4.46,4.15,462,Atlantic,False,False,False
202,ventana_156,2024-01-01T10:35:00,2024-01-01T10:36:00,WST002,21.93,4.64,1.26,384,Continental,False,False,False
203,ventana_157,2024-01-01T10:36:00,2024-01-01T10:37:00,WST001,22.65,11.86,1.12,462,Atlantic,False,False,False
204,ventana_157,2024-01-01T10:36:00,2024-01-01T10:37:00,WST003,11.52,13.32,2.63,490,Atlantic,False,False,False
205,ventana_158,2024-01-01T10:37:00,2024-01-01T10:38:00,WST007,15.73,7.21,0.73,560,Continental,False,False,False
206,ventana_159,2024-01-01T10:38:00,2024-01-01T10:39:00,WST001,16.19,9.04,3.38,462,Atlantic,False,False,False
207,ventana_160,2024-01-01T10:39:00,2024-01-01T10:40:00,WST001,14.66,8.34,0.26,462,Atlantic,False,False,False
208,ventana_160,2024-01-01T10:39:00,2024-01-01T10:40:00,WST003,23.27,7.01,2.25,490,Atlantic,False,False,False
209,ventana_161,2024-01-01T10:40:00,2024-01-01T10:41:00,WST005,14.52,6.07,0.34,635,Continental,False,False,False
210,ventana_162,2024-01-01T10:41:00,2024-01-01T10:42:00,WST006,25.84,8.85,0.95,734,Atlantic,False,False,False
211,ventana_163,2024-01-01T10:42:00,2024-01-01T10:43:00,WST003,18.38,16.63,2.35,490,Atlantic,False,False,False
212,ventana_163,2024-01-01T10:42:00,2024-01-01T10:43:00,WST007,15.84,10.22,1.96,560,Continental,False,False,False
213,ventana_164,2024-01-01T10:43:00,2024-01-01T10:44:00,WST005,12.5,7.17,1.73,635,Continental,False,False,False
214,ventana_165,2024-01-01T10:44:00,2024-01-01T10:45:00,WST004,16.42,12.29,1.26,1416,Mediterranean,False,False,False
